chr1	5102592	5105874	chr1	6727885	6731233	hs698	5.28	FB
chr1	6386937	6391389	chr1	6727885	6731233	hs698	5.28	MB
chr1	6393702	6397279	chr1	6727885	6731233	hs698	5.26	FB
chr1	6405524	6408265	chr1	6727885	6731233	hs698	7.41	FB
chr1	6405524	6408265	chr1	6727885	6731233	hs698	7	MB
chr1	6408266	6414410	chr1	6727885	6731233	hs698	5.24	FB
chr1	6408266	6414410	chr1	6727885	6731233	hs698	5.42	HR
chr1	6408266	6414410	chr1	6727885	6731233	hs698	5.49	MB
chr1	6408266	6414410	chr1	6727885	6731233	hs698	5.91	TL
chr1	6408266	6414410	chr1	6727885	6731233	hs698	7.97	HB
chr1	6487640	6493623	chr1	6727885	6731233	hs698	8.82	MB
chr1	9568596	9573955	chr1	9646793	9651505	mm1546	5.43	NT
chr1	9568596	9573955	chr1	9646793	9651505	mm1546	6.02	MB
chr1	18281023	18286051	chr1	19698787	19701411	hs217	7.1	HR
chr1	18353710	18357375	chr1	19105201	19109426	hs865	5.13	MB
chr1	18353710	18357375	chr1	19105201	19109426	hs865	5.92	HR
chr1	18353710	18357375	chr1	19105201	19109426	hs865	6.25	HB
chr1	18353710	18357375	chr1	19105201	19109426	hs865	7.41	NT
chr1	19288973	19295620	chr1	19698787	19701411	hs217	5.25	MB
chr1	20302774	20308592	chr1	19105201	19109426	hs865	5.37	FL
chr1	20302774	20308592	chr1	19105201	19109426	hs865	6.55	MB
chr1	20302774	20308592	chr1	19105201	19109426	hs865	7.08	HB
chr1	20308593	20313226	chr1	19105201	19109426	hs865	6.3	HB
chr1	20308593	20313226	chr1	19105201	19109426	hs865	6.59	FB
chr1	20308593	20313226	chr1	19105201	19109426	hs865	6.59	MB
chr1	20308593	20313226	chr1	19105201	19109426	hs865	7.67	NT
chr1	20443650	20449270	chr1	19105201	19109426	hs865	7.79	NT
chr1	20443650	20449270	chr1	19556626	19560271	hs216	5.07	HL
chr1	20443650	20449270	chr1	19698787	19701411	hs217	5.18	CF
